Estación,Date,Latitud,Longitud,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B8A,NDWI,NDMI,MSI,NMDI,GVMI,SRWI,Humedad_Suelo
Bedford-5-WNW,2018-12-24,38.8882,-86.5707,0.1489,0.1129,0.1068,0.0927,0.145,0.2557,0.2977,0.3008,0.3422,0.1451,0.0023,0.1995,0.1013,-0.47595686,0.9848235,0.007646277,0.99084765,0.8945875,2.8164794,0.391
Batesville-8-WNW,2022-08-01,35.8201,-91.7812,0.1492,0.1301,0.1205,0.1164,0.1281,0.23,0.2741,0.2311,0.3278,0.0385,0.002,0.2816,0.1496,-0.314562,0.98283994,0.008654263,0.99222845,0.87538934,1.9178423,0.306
Blackville-3-W,2023-06-12,33.355,-81.3279,0.1666,0.1433,0.1365,0.1219,0.1501,0.2371,0.2857,0.2728,0.3157,0.073,0.0341,0.2484,0.1418,-0.33300757,0.7777778,0.125,0.8771835,0.74654484,1.9985348,0.2
Asheville-13-S,2020-07-20,35.4185,-82.5567,0.1339,0.1031,0.1066,0.0773,0.1288,0.2873,0.3615,0.3434,0.4103,0.0502,0.0011,0.263,0.1207,-0.5262222,0.9936139,0.0032032614,0.9963786,0.9091496,3.2213883,0.171
Blackville-3-W,2023-06-05,33.355,-81.3279,0.1337,0.1106,0.1074,0.0944,0.1283,0.2178,0.2518,0.2469,0.2856,0.0552,0.0013,0.3106,0.1782,-0.39373413,0.98952454,0.0052652895,0.99534714,0.8843021,2.2988827,0.162
Austin-33-NW,2024-08-26,30.6222,-98.0846,0.118,0.0839,0.0604,0.0424,0.0446,0.0551,0.0692,0.0574,0.073,0.0085,0.0007,0.0416,0.0179,0.025466913,0.9759036,0.0121951215,0.9859578,0.7675464,0.9503311,0.161
Austin-33-NW,2023-01-09,30.6222,-98.0846,0.1466,0.124,0.1092,0.1239,0.1328,0.1447,0.1623,0.1721,0.1962,0.0581,0.0013,0.3054,0.206,-0.22360466,0.9850057,0.0075537483,0.9945697,0.8548058,1.5760072,0.298
Batesville-8-WNW,2022-06-27,35.8201,-91.7812,0.1202,0.1021,0.1057,0.0988,0.1447,0.2526,0.3082,0.3091,0.3582,0.0954,0.0016,0.3068,0.1713,-0.4903568,0.9897007,0.0051763183,0.9948178,0.89969814,2.924314,0.118
Blackville-3-W,2023-05-08,33.355,-81.3279,0.1529,0.1276,0.1197,0.114,0.1434,0.2253,0.2618,0.2458,0.2994,0.0563,0.0119,0.285,0.1682,-0.34500685,0.9076446,0.048413344,0.95614517,0.83108294,2.053467,0.119
Blackville-3-W,2023-05-01,33.355,-81.3279,0.1171,0.0952,0.0949,0.0878,0.134,0.2194,0.2492,0.2499,0.2759,0.1193,0.0016,0.2638,0.1545,-0.44953597,0.9872763,0.006402561,0.99379003,0.8837146,2.6332982,0.193
